,Id,SalePrice
0,1461,127500.0
1,1462,145000.0
2,1463,193000.0
3,1464,130500.0
4,1465,213500.0
5,1466,130500.0
6,1467,176432.0
7,1468,130500.0
8,1469,186500.0
9,1470,128950.0
10,1471,210000.0
11,1472,118000.0
12,1473,88000.0
13,1474,148500.0
14,1475,139400.0
15,1476,451950.0
16,1477,235128.0
17,1478,315000.0
18,1479,232000.0
19,1480,386250.0
20,1481,268000.0
21,1482,202500.0
22,1483,176432.0
23,1484,213490.0
24,1485,180000.0
25,1486,225000.0
26,1487,402000.0
27,1488,245350.0
28,1489,250580.0
29,1490,175000.0
30,1491,176000.0
31,1492,121000.0
32,1493,130500.0
33,1494,340000.0
34,1495,325000.0
35,1496,289000.0
36,1497,208900.0
37,1498,151000.0
38,1499,151000.0
39,1500,80000.0
40,1501,177500.0
41,1502,173000.0
42,1503,392000.0
43,1504,212000.0
44,1505,213000.0
45,1506,185750.0
46,1507,129000.0
47,1508,170000.0
48,1509,165000.0
49,1510,157900.0
50,1511,158000.0
51,1512,175000.0
52,1513,159000.0
53,1514,131000.0
54,1515,191000.0
55,1516,158900.0
56,1517,171000.0
57,1518,142953.0
58,1519,235000.0
59,1520,133000.0
60,1521,158000.0
61,1522,166000.0
62,1523,99500.0
63,1524,115000.0
64,1525,62383.0
65,1526,123000.0
66,1527,75000.0
67,1528,129900.0
68,1529,154000.0
69,1530,167900.0
70,1531,104000.0
71,1532,132000.0
72,1533,135000.0
73,1534,99500.0
74,1535,139000.0
75,1536,119000.0
76,1537,58500.0
77,1538,161000.0
78,1539,122000.0
79,1540,118500.0
80,1541,130500.0
81,1542,139000.0
82,1543,197000.0
83,1544,91000.0
84,1545,80000.0
85,1546,79900.0
86,1547,152000.0
87,1548,152000.0
88,1549,75000.0
89,1550,135000.0
90,1551,109900.0
91,1552,149900.0
92,1553,128000.0
93,1554,66500.0
94,1555,131000.0
95,1556,78000.0
96,1557,152000.0
97,1558,90350.0
98,1559,130000.0
99,1560,106000.0
100,1561,131000.0
101,1562,137500.0
102,1563,137000.0
103,1564,143500.0
104,1565,148000.0
